,TOPIC,CLASSIFICATION,GROUP,SUBGROUP,ESTIMATE,TIME_PERIOD,REVERSE_ESTIMATE
9360,Delayed getting medical care due to cost among adults,Total,Total,18 years and older,9.1,2019,90.9
9361,Delayed getting medical care due to cost among adults,Total,Total,18 years and older,7.5,2020,92.5
9362,Delayed getting medical care due to cost among adults,Total,Total,18 years and older,7.1,2021,92.9
9363,Delayed getting medical care due to cost among adults,Total,Total,18 years and older,7.0,2022,93.0
9364,Delayed getting medical care due to cost among adults,Total,Total,18 years and older,7.2,2023,92.8
9365,Delayed getting medical care due to cost among adults,Total,Total,18 years and older,8.6,2024,91.4
9366,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,10.5,2019,89.5
9367,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,9.1,2020,90.9
9368,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,8.7,2021,91.3
9369,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,8.3,2022,91.7
9370,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,8.7,2023,91.3
9371,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,18-34 years,10.7,2024,89.3
9372,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,10.9,2019,89.1
9373,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,8.8,2020,91.2
9374,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,8.3,2021,91.7
9375,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,9.4,2022,90.6
9376,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,9.0,2023,91.0
9377,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,35-49 years,10.8,2024,89.2
9378,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,10.3,2019,89.7
9379,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,8.6,2020,91.4
9380,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,8.4,2021,91.6
9381,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,7.1,2022,92.9
9382,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,7.8,2023,92.2
9383,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,50-64 years,9.5,2024,90.5
9384,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,3.4,2019,96.6
9385,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2.7,2020,97.3
9386,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2.5,2021,97.5
9387,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2.7,2022,97.3
9388,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2.5,2023,97.5
9389,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 65 years and older,65 years and older,2.6,2024,97.4
9390,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,10.6,2019,89.4
9391,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,9.1,2020,90.9
9392,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,8.5,2021,91.5
9393,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,8.6,2022,91.4
9394,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,8.8,2023,91.2
9395,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,18-44 years,10.6,2024,89.4
9396,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,10.5,2019,89.5
9397,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,8.5,2020,91.5
9398,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,8.5,2021,91.5
9399,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,7.8,2022,92.2
9400,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,8.2,2023,91.8
9401,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,45-64 years,10.0,2024,90.0
9402,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,4.1,2019,95.9
9403,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,3.2,2020,96.8
9404,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,3.0,2021,97.0
9405,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,3.6,2022,96.4
9406,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,3.3,2023,96.7
9407,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,65-74 years,3.4,2024,96.6
9408,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,2.5,2019,97.5
9409,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,1.9,2020,98.1
9410,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,1.7,2021,98.3
9411,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,1.5,2022,98.5
9412,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,1.3,2023,98.7
9413,Delayed getting medical care due to cost among adults,Demographic Characteristic,Age groups with 75 years and older,75 years and older,1.6,2024,98.4
9414,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,With disability,15.1,2019,84.9
9415,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,With disability,13.1,2020,86.9
9416,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,With disability,12.3,2021,87.7
9417,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,With disability,12.2,2022,87.8
9418,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,With disability,13.0,2023,87.0
9419,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,With disability,14.2,2024,85.8
9420,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,Without disability,8.4,2019,91.6
9421,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,Without disability,7.0,2020,93.0
9422,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,Without disability,6.6,2021,93.4
9423,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,Without disability,6.5,2022,93.5
9424,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,Without disability,6.6,2023,93.4
9425,Delayed getting medical care due to cost among adults,Demographic Characteristic,Disability status,Without disability,8.0,2024,92.0
9426,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,12.2,2019,87.8
9427,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,10.7,2020,89.3
9428,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,10.0,2021,90.0
9429,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,9.9,2022,90.1
9430,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,10.0,2023,90.0
9431,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,With functioning difficulties,11.6,2024,88.4
9432,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,6.8,2019,93.2
9433,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,5.3,2020,94.7
9434,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,4.9,2021,95.1
9435,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,4.7,2022,95.3
9436,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,4.9,2023,95.1
9437,Delayed getting medical care due to cost among adults,Demographic Characteristic,Functioning difficulties status,Without functioning difficulties,6.0,2024,94.0
9438,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Married,7.2,2019,92.8
9439,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Married,5.9,2020,94.1
9440,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Married,6.0,2021,94.0
9441,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Married,5.3,2022,94.7
9442,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Married,6.1,2023,93.9
9443,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Married,7.5,2024,92.5
9444,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Divorced or separated,14.0,2019,86.0
9445,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Divorced or separated,11.2,2020,88.8
9446,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Divorced or separated,9.6,2021,90.4
9447,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Divorced or separated,8.9,2022,91.1
9448,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Divorced or separated,9.6,2023,90.4
9449,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Divorced or separated,10.9,2024,89.1
9450,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Widowed,5.0,2019,95.0
9451,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Widowed,4.6,2020,95.4
9452,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Widowed,4.1,2021,95.9
9453,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Widowed,5.3,2022,94.7
9454,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Widowed,4.0,2023,96.0
9455,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Widowed,4.6,2024,95.4
9456,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Living with a partner,16.0,2019,84.0
9457,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Living with a partner,13.6,2020,86.4
9458,Delayed getting medical care due to cost among adults,Demographic Characteristic,Marital status,Living with a partner,12.1,2021,87.9
